Date,Open,High,Low,Close,detail,dt_percent,Volume
2023:09:29,1864.795,1879.89,1849.72,1849.96,-14.835,-80,123097
2023:09:28,1864.795,1879.89,1849.72,1849.955,-14.84,-80,123097
2023:09:27,1874.835,1879.685,1857.71,1864.795,-10.04,-54,137250
2023:09:26,1900.67,1903.97,1872.58,1874.835,-25.835,-136,111312
2023:09:25,1916.015,1916.84,1899.155,1900.67,-15.345,-80,95895
2023:09:22,1925.43,1927.245,1915.23,1916.015,-9.415,-49,87032
2023:09:21,1920.085,1929.15,1919.855,1925.43,5.345,28,107780
2023:09:20,1930.62,1931.685,1913.94,1920.085,-10.535,-55,145251
2023:09:19,1931.36,1947.465,1927.995,1930.62,-0.74,-4,137976
2023:09:18,1933.695,1937.43,1929.8,1931.36,-2.335,-12,93077
2023:09:15,1923.92,1934.29,1922.65,1933.695,9.775,51,106931
2023:09:14,1910.72,1930.475,1909.865,1923.92,13.2,69,135779
2023:09:13,1908.32,1912.97,1901.05,1910.72,2.4,13,154648
2023:09:12,1913.43,1915.815,1905.695,1908.32,-5.11,-27,136390
2023:09:11,1922.38,1924.555,1907.62,1913.43,-8.95,-47,122013
2023:09:08,1919.085,1930.78,1916.63,1922.38,3.295,17,115630
2023:09:07,1919.66,1929.75,1917.385,1919.085,-0.575,-3,106884
2023:09:06,1916.49,1923.67,1916.27,1919.66,3.17,17,107298
2023:09:05,1926.01,1929.245,1915.345,1916.49,-9.52,-49,126647
2023:09:04,1938.455,1939.035,1925.37,1926.01,-12.445,-64,120681
2023:09:01,1939.9,1946.335,1936.805,1938.455,-1.445,-7,59944
2023:08:31,1939.855,1953.055,1934.47,1939.9,0.045,0,147208
2023:08:30,1942.425,1947.955,1939.085,1939.855,-2.57,-13,115474
2023:08:29,1937.435,1949.115,1934.995,1942.425,4.99,26,126012
2023:08:28,1920.19,1938.235,1914.485,1937.435,17.245,90,123990
2023:08:25,1914.425,1926.1,1912.835,1920.19,5.765,30,81907
2023:08:24,1916.79,1922.44,1903.81,1914.425,-2.365,-12,119559
2023:08:23,1915.41,1923.4,1911.845,1916.79,1.38,7,118277
2023:08:22,1897.675,1920.425,1897.67,1915.41,17.735,93,126671
2023:08:21,1894.895,1904.55,1889.195,1897.675,2.78,15,112446
2023:08:18,1889.545,1898.825,1884.885,1894.895,5.35,28,119196
2023:08:17,1889.25,1896.905,1886.81,1889.545,0.295,2,106517
