,Date,Price,Open,High,Low,Vol.,detail,dt_percent
0,2023:09:29,1849.96,1864.795,1879.89,1849.72,123097,-14.835,-80
1,2023:09:28,1849.955,1864.795,1879.89,1849.72,123097,-14.84,-80
2,2023:09:27,1864.795,1874.835,1879.685,1857.71,137250,-10.04,-54
3,2023:09:26,1874.835,1900.67,1903.97,1872.58,111312,-25.835,-136
4,2023:09:25,1900.67,1916.015,1916.84,1899.155,95895,-15.345,-80
5,2023:09:22,1916.015,1925.43,1927.245,1915.23,87032,-9.415,-49
6,2023:09:21,1925.43,1920.085,1929.15,1919.855,107780,5.345,28
7,2023:09:20,1920.085,1930.62,1931.685,1913.94,145251,-10.535,-55
8,2023:09:19,1930.62,1931.36,1947.465,1927.995,137976,-0.74,-4
9,2023:09:18,1931.36,1933.695,1937.43,1929.8,93077,-2.335,-12
10,2023:09:15,1933.695,1923.92,1934.29,1922.65,106931,9.775,51
11,2023:09:14,1923.92,1910.72,1930.475,1909.865,135779,13.2,69
12,2023:09:13,1910.72,1908.32,1912.97,1901.05,154648,2.4,13
13,2023:09:12,1908.32,1913.43,1915.815,1905.695,136390,-5.11,-27
14,2023:09:11,1913.43,1922.38,1924.555,1907.62,122013,-8.95,-47
15,2023:09:08,1922.38,1919.085,1930.78,1916.63,115630,3.295,17
16,2023:09:07,1919.085,1919.66,1929.75,1917.385,106884,-0.575,-3
17,2023:09:06,1919.66,1916.49,1923.67,1916.27,107298,3.17,17
18,2023:09:05,1916.49,1926.01,1929.245,1915.345,126647,-9.52,-49
19,2023:09:04,1926.01,1938.455,1939.035,1925.37,120681,-12.445,-64
20,2023:09:01,1938.455,1939.9,1946.335,1936.805,59944,-1.445,-7
21,2023:08:31,1939.9,1939.855,1953.055,1934.47,147208,0.045,0
22,2023:08:30,1939.855,1942.425,1947.955,1939.085,115474,-2.57,-13
23,2023:08:29,1942.425,1937.435,1949.115,1934.995,126012,4.99,26
24,2023:08:28,1937.435,1920.19,1938.235,1914.485,123990,17.245,90
25,2023:08:25,1920.19,1914.425,1926.1,1912.835,81907,5.765,30
26,2023:08:24,1914.425,1916.79,1922.44,1903.81,119559,-2.365,-12
27,2023:08:23,1916.79,1915.41,1923.4,1911.845,118277,1.38,7
28,2023:08:22,1915.41,1897.675,1920.425,1897.67,126671,17.735,93
29,2023:08:21,1897.675,1894.895,1904.55,1889.195,112446,2.78,15
30,2023:08:18,1894.895,1889.545,1898.825,1884.885,119196,5.35,28
31,2023:08:17,1889.545,1889.25,1896.905,1886.81,106517,0.295,2
32,2023:08:16,1889.25,1892.09,1903.515,1885.085,144196,-2.84,-15
33,2023:08:15,1892.09,1901.82,1907.275,1891.875,142099,-9.73,-51
34,2023:08:14,1901.82,1907.505,1911.71,1896.455,163154,-5.685,-30
35,2023:08:11,1907.505,1913.815,1916.26,1902.73,130484,-6.31,-33
36,2023:08:10,1913.815,1912.42,1920.97,1910.9,132068,1.395,7
37,2023:08:09,1912.42,1914.95,1930.18,1912.245,155508,-2.53,-13
38,2023:08:08,1914.95,1925.16,1932.395,1914.125,123977,-10.21,-53
39,2023:08:07,1925.16,1936.585,1938.155,1922.795,139132,-11.425,-59
40,2023:08:04,1936.585,1942.655,1946.815,1931.525,112919,-6.07,-31
41,2023:08:03,1942.655,1934.225,1946.99,1924.78,156902,8.43,44
42,2023:08:02,1934.225,1934.71,1938.94,1929.61,140159,-0.485,-3
43,2023:08:01,1934.71,1944.2,1954.88,1933.036,162768,-9.49,-49
44,2023:07:31,1944.2,1965.615,1966.015,1941.29,136205,-21.415,-109
45,2023:07:28,1965.615,1959.34,1972.455,1950.206,139132,6.275,32
46,2023:07:27,1959.34,1945.15,1963.575,1945.15,176345,14.19,73
47,2023:07:26,1945.15,1972.24,1982.265,1942.645,189868,-27.09,-137
48,2023:07:25,1972.24,1964.745,1978.405,1962.065,170682,7.495,38
49,2023:07:24,1964.745,1954.715,1965.72,1952.005,121634,10.03,51
50,2023:07:21,1954.715,1961.95,1967.905,1953.475,147897,-7.235,-37
51,2023:07:20,1961.95,1969.55,1973.85,1956.905,144222,-7.6,-39
52,2023:07:19,1969.55,1977.15,1987.53,1965.39,168774,-7.6,-38
53,2023:07:18,1977.15,1978.92,1980.995,1969.81,160240,-1.77,-9
54,2023:07:17,1978.92,1954.98,1984.425,1954.65,180348,23.94,122
55,2023:07:14,1954.98,1955.435,1959.91,1945.84,141677,-0.455,-2
56,2023:07:13,1955.435,1960.64,1963.795,1950.99,172146,-5.205,-27
57,2023:07:12,1960.64,1957.54,1963.735,1952.47,77345,3.1,16
58,2023:07:11,1957.54,1932.505,1959.75,1932.315,75985,25.035,130
59,2023:07:10,1932.505,1925.44,1938.495,1924.42,71828,7.065,37
60,2023:07:07,1925.44,1925.565,1928.28,1912.75,70937,-0.125,-1
61,2023:07:06,1925.565,1910.975,1934.935,1909.62,94162,14.59,76
62,2023:07:05,1910.975,1915.12,1927.665,1902.745,88195,-4.145,-22
63,2023:07:04,1915.12,1925.875,1935.05,1914.855,64898,-10.755,-56
64,2023:07:03,1925.875,1921.525,1930.765,1920.005,37517,4.35,23
65,2023:06:30,1921.525,1919.525,1931.085,1910.08,58322,2.0,10
66,2023:06:29,1919.525,1908.065,1922.78,1900.605,71833,11.46,60
67,2023:06:28,1908.065,1907.535,1913.18,1893.07,80916,0.53,3
68,2023:06:27,1907.535,1913.68,1917.285,1902.87,61344,-6.145,-32
69,2023:06:26,1913.68,1923.15,1930.73,1910.89,63008,-9.47,-49
70,2023:06:23,1923.15,1921.265,1933.395,1921.265,48009,1.885,10
71,2023:06:22,1921.265,1913.835,1937.305,1910.21,64345,7.43,39
72,2023:06:21,1913.835,1932.51,1935.005,1912.465,67665,-18.675,-97
73,2023:06:20,1932.51,1936.255,1939.575,1919.245,58919,-3.745,-19
74,2023:06:19,1936.255,1950.42,1956.84,1929.82,77044,-14.165,-73
75,2023:06:16,1950.42,1957.555,1958.81,1947.84,41354,-7.135,-36
76,2023:06:15,1957.555,1958.005,1967.92,1953.32,50018,-0.45,-2
77,2023:06:14,1958.005,1941.255,1960.31,1925.04,86479,16.75,86
78,2023:06:13,1941.255,1943.6,1960.31,1939.755,74771,-2.345,-12
79,2023:06:12,1943.6,1957.605,1971.21,1940.095,78621,-14.005,-72
80,2023:06:09,1957.605,1960.745,1967.015,1949.28,68616,-3.14,-16
81,2023:06:08,1960.745,1965.47,1973.16,1956.665,50155,-4.725,-24
82,2023:06:07,1965.47,1940.01,1970.54,1940.01,50107,25.46,131
83,2023:06:06,1940.01,1963.285,1970.22,1939.955,51978,-23.275,-119
84,2023:06:05,1963.285,1961.7,1966.385,1954.395,49756,1.585,8
85,2023:06:02,1961.7,1948.1,1964.055,1938.15,57157,13.6,70
86,2023:06:01,1948.1,1977.54,1983.505,1947.68,62360,-29.44,-149
87,2023:05:31,1977.54,1962.615,1983.18,1953.445,66617,14.925,76
88,2023:05:30,1962.615,1959.48,1974.835,1953.7,69234,3.135,16
89,2023:05:29,1959.48,1943.12,1963.55,1932.11,75804,16.36,84
90,2023:05:26,1943.12,1946.93,1949.77,1940.385,37313,-3.81,-20
91,2023:05:25,1946.93,1940.595,1957.36,1936.815,70979,6.335,33
92,2023:05:24,1940.595,1957.225,1964.785,1938.915,71543,-16.63,-85
93,2023:05:23,1957.225,1975.115,1985.39,1956.77,78959,-17.89,-91
94,2023:05:22,1975.115,1971.72,1977.805,1954.3,77592,3.395,17
95,2023:05:19,1971.72,1977.895,1982.67,1968.905,72635,-6.175,-31
96,2023:05:18,1977.895,1957.685,1984.325,1954.13,106304,20.21,103
97,2023:05:17,1957.685,1982.01,1986.07,1952.01,95953,-24.325,-123
98,2023:05:16,1982.01,1988.885,1993.12,1975.095,67870,-6.875,-35
99,2023:05:15,1988.885,2016.365,2018.39,1985.53,90207,-27.48,-136
100,2023:05:12,2016.365,2011.025,2022.115,2007.845,70894,5.34,27
101,2023:05:11,2011.025,2015.03,2022.58,2000.96,98231,-4.005,-20
102,2023:05:10,2015.03,2029.74,2041.39,2011.185,112821,-14.71,-72
103,2023:05:09,2029.74,2034.535,2048.245,2021.565,90192,-4.795,-24
104,2023:05:08,2034.535,2021.355,2037.655,2019.55,63973,13.18,65
105,2023:05:05,2021.355,2016.79,2029.4,2014.305,57904,4.565,23
106,2023:05:04,2016.79,2050.31,2053.045,1999.585,99893,-33.52,-163
107,2023:05:03,2050.31,2039.565,2067.0,2030.39,158198,10.745,53
108,2023:05:02,2039.565,2016.6,2040.495,2008.025,88496,22.965,114
109,2023:05:01,2016.6,1982.55,2019.455,1978.52,81795,34.05,172
110,2023:04:28,1982.55,1989.535,2006.07,1977.12,92283,-6.985,-35
111,2023:04:27,1989.535,1987.8,1995.14,1976.265,91849,1.735,9
112,2023:04:26,1987.8,1989.235,2003.415,1974.115,90833,-1.435,-7
113,2023:04:25,1989.235,1997.04,2009.45,1983.375,102567,-7.805,-39
114,2023:04:24,1997.04,1989.05,2003.89,1976.185,83782,7.99,40
115,2023:04:21,1989.05,1982.92,1990.845,1974.155,52264,6.13,31
116,2023:04:20,1982.92,2004.605,2005.62,1971.695,68455,-21.685,-108
117,2023:04:19,2004.605,1994.75,2012.445,1990.565,54408,9.855,49
118,2023:04:18,1994.75,2005.075,2008.255,1969.305,51668,-10.325,-51
119,2023:04:17,2005.075,1995.055,2011.89,1991.32,49962,10.02,50
120,2023:04:14,1995.055,2004.275,2015.075,1981.19,61121,-9.22,-46
121,2023:04:13,2004.275,2040.46,2047.505,1992.5,71842,-36.185,-177
122,2023:04:12,2040.46,2014.95,2048.77,2014.175,54462,25.51,127
123,2023:04:11,2014.95,2003.64,2028.4,2001.22,66829,11.31,56
124,2023:04:10,2003.64,1991.195,2007.495,1988.875,40748,12.445,63
125,2023:04:07,1991.195,2007.86,2007.86,1981.68,66635,-16.665,-83
126,2023:04:06,2007.86,2020.65,2021.485,2000.89,49143,-12.79,-63
127,2023:04:05,2020.65,2020.465,2032.11,2010.09,50955,0.185,1
128,2023:04:04,2020.465,1984.385,2025.07,1977.035,52318,36.08,182
129,2023:04:03,1984.385,1969.31,1990.545,1949.81,66546,15.075,77
130,2023:03:31,1969.31,1980.425,1987.645,1966.935,45696,-11.115,-56
131,2023:03:30,1980.425,1964.505,1984.365,1955.41,44014,15.92,81
132,2023:03:29,1964.505,1974.035,1974.46,1958.755,42937,-9.53,-48
133,2023:03:28,1974.035,1956.45,1975.365,1949.245,51915,17.585,90
134,2023:03:27,1956.45,1978.965,1978.965,1944.045,67400,-22.515,-114
135,2023:03:24,1978.965,1993.495,2003.08,1975.325,104846,-14.53,-73
136,2023:03:23,1993.495,1970.015,2003.36,1964.615,90866,23.48,119
137,2023:03:22,1970.015,1940.52,1978.915,1934.345,95641,29.495,152
138,2023:03:21,1940.52,1978.975,1985.22,1935.465,80572,-38.455,-194
139,2023:03:20,1978.975,1988.305,2009.85,1965.99,138288,-9.33,-47
140,2023:03:17,1988.305,1919.34,1988.335,1918.305,95813,68.965,359
141,2023:03:16,1919.34,1918.73,1933.54,1907.56,93255,0.61,3
142,2023:03:15,1918.73,1903.865,1937.39,1885.79,131026,14.865,78
143,2023:03:14,1903.865,1913.63,1914.225,1895.435,83404,-9.765,-51
144,2023:03:13,1913.63,1867.035,1914.695,1867.035,131040,46.595,250
145,2023:03:10,1867.035,1830.915,1870.245,1827.815,70998,36.12,197
146,2023:03:09,1830.915,1813.83,1835.725,1811.985,35709,17.085,94
147,2023:03:08,1813.83,1813.34,1824.305,1809.425,38988,0.49,3
148,2023:03:07,1813.34,1846.88,1851.705,1812.775,44746,-33.54,-182
149,2023:03:06,1846.88,1855.435,1858.31,1845.225,31455,-8.555,-46
150,2023:03:03,1855.435,1835.94,1856.39,1835.94,37695,19.495,106
151,2023:03:02,1835.94,1836.65,1839.03,1830.05,41289,-0.71,-4
152,2023:03:01,1836.65,1826.67,1844.83,1823.15,49931,9.98,55
153,2023:02:28,1826.67,1817.25,1831.175,1804.685,42265,9.42,52
154,2023:02:27,1817.25,1810.985,1820.2,1806.705,42639,6.265,35
155,2023:02:24,1810.985,1822.3,1827.885,1809.01,65299,-11.315,-62
156,2023:02:23,1822.3,1825.305,1833.9,1817.55,51711,-3.005,-16
157,2023:02:22,1825.305,1834.915,1846.07,1823.56,51795,-9.61,-52
158,2023:02:21,1834.915,1843.76,1843.905,1830.29,51231,-8.845,-48
159,2023:02:20,1843.76,1842.565,1847.57,1837.36,29521,1.195,6
160,2023:02:17,1842.565,1836.52,1843.685,1818.975,57762,6.045,33
161,2023:02:16,1836.52,1836.005,1845.32,1827.665,60769,0.515,3
162,2023:02:15,1836.005,1854.435,1860.19,1830.62,67909,-18.43,-99
