Date,Open,High,Low,Close,detail,dt_percent,Volume
2023:9:29,1864.795,1879.89,1861.335,1862.94,-1.855,-10.0,83564.0
2023:9:28,1874.835,1879.685,1857.71,1864.795,-10.04,-54.0,137250.0
2023:9:27,1900.67,1903.97,1872.58,1874.835,-25.835,-136.0,111312.0
2023:9:26,1916.015,1916.84,1899.155,1900.67,-15.345,-80.0,95895.0
2023:9:25,1925.43,1927.245,1915.23,1916.015,-9.415,-49.0,87032.0
2023:9:22,1920.085,1929.15,1919.855,1925.43,5.345,28.000000000000004,107780.0
2023:9:21,1930.62,1931.685,1913.94,1920.085,-10.535,-55.00000000000001,145251.0
2023:9:20,1931.36,1947.465,1927.995,1930.62,-0.74,-4.0,137976.0
2023:9:19,1933.695,1937.43,1929.8,1931.36,-2.335,-12.0,93077.0
2023:9:18,1923.92,1934.29,1922.65,1933.695,9.775,51.0,106931.0
2023:9:15,1910.72,1930.475,1909.865,1923.92,13.2,69.0,135779.0
2023:9:14,1908.32,1912.97,1901.05,1910.72,2.4,13.0,154648.0
2023:9:13,1913.43,1915.815,1905.695,1908.32,-5.11,-27.0,136390.0
2023:9:12,1922.38,1924.555,1907.62,1913.43,-8.95,-47.0,122013.0
2023:9:11,1919.085,1930.78,1916.63,1922.38,3.295,17.0,115630.0
2023:9:8,1919.66,1929.75,1917.385,1919.085,-0.575,-3.0,106884.0
2023:9:7,1916.49,1923.67,1916.27,1919.66,3.17,17.0,107298.0
2023:9:6,1926.01,1929.245,1915.345,1916.49,-9.52,-49.0,126647.0
2023:9:5,1938.455,1939.035,1925.37,1926.01,-12.445,-64.0,120681.0
2023:9:4,1939.9,1946.335,1936.805,1938.455,-1.445,-7.000000000000001,59944.0
2023:9:1,1939.855,1953.055,1934.47,1939.9,0.045,0.0,147208.0
2023:8:31,1942.425,1947.955,1939.085,1939.855,-2.57,-13.0,115474.0
2023:8:30,1937.435,1949.115,1934.995,1942.425,4.99,26.0,126012.0
2023:8:29,1920.19,1938.235,1914.485,1937.435,17.245,90.0,123990.0
2023:8:28,1914.425,1926.1,1912.835,1920.19,5.765,30.0,81907.0
2023:8:25,1916.79,1922.44,1903.81,1914.425,-2.365,-12.0,119559.0
2023:8:24,1915.41,1923.4,1911.845,1916.79,1.38,7.000000000000001,118277.0
2023:8:23,1897.675,1920.425,1897.67,1915.41,17.735,93.0,126671.0
2023:8:22,1894.895,1904.55,1889.195,1897.675,2.78,15.0,112446.0
2023:8:21,1889.545,1898.825,1884.885,1894.895,5.35,28.000000000000004,119196.0
2023:8:18,1889.25,1896.905,1886.81,1889.545,0.295,2.0,106517.0
2023:8:17,1892.09,1903.515,1885.085,1889.25,-2.84,-15.0,144196.0
2023:8:16,1901.82,1907.275,1891.875,1892.09,-9.73,-51.0,142099.0
2023:8:15,1907.505,1911.71,1896.455,1901.82,-5.685,-30.0,163154.0
2023:8:14,1913.815,1916.26,1902.73,1907.505,-6.31,-33.0,130484.00000000001
2023:8:11,1912.42,1920.97,1910.9,1913.815,1.395,7.000000000000001,132068.0
2023:8:10,1914.95,1930.18,1912.245,1912.42,-2.53,-13.0,155508.0
2023:8:9,1925.16,1932.395,1914.125,1914.95,-10.21,-53.0,123977.0
2023:8:8,1936.585,1938.155,1922.795,1925.16,-11.425,-59.0,139132.0
2023:8:7,1942.655,1946.815,1931.525,1936.585,-6.07,-31.0,112919.0
2023:8:4,1934.225,1946.99,1924.78,1942.655,8.43,44.0,156902.0
2023:8:3,1934.71,1938.94,1929.61,1934.225,-0.485,-3.0,140159.0
2023:8:2,1944.2,1954.88,1933.036,1934.71,-9.49,-49.0,162768.0
2023:8:1,1965.615,1966.015,1941.29,1944.2,-21.415,-109.00000000000001,136205.0
2023:7:31,1959.34,1972.455,1950.206,1965.615,6.275,32.0,139132.0
2023:7:28,1945.15,1963.575,1945.15,1959.34,14.19,73.0,176345.0
2023:7:27,1972.24,1982.265,1942.645,1945.15,-27.09,-137.0,189868.0
2023:7:26,1964.745,1978.405,1962.065,1972.24,7.495,38.0,170682.0
2023:7:25,1954.715,1965.72,1952.005,1964.745,10.03,51.0,121634.0
2023:7:24,1961.95,1967.905,1953.475,1954.715,-7.235,-37.0,147897.0
2023:7:21,1969.55,1973.85,1956.905,1961.95,-7.6,-39.0,144222.0
2023:7:20,1977.15,1987.53,1965.39,1969.55,-7.6,-38.0,168774.0
2023:7:19,1978.92,1980.995,1969.81,1977.15,-1.77,-9.0,160240.0
2023:7:18,1954.98,1984.425,1954.65,1978.92,23.94,122.0,180348.0
2023:7:17,1955.435,1959.91,1945.84,1954.98,-0.455,-2.0,141677.0
2023:7:14,1960.64,1963.795,1950.99,1955.435,-5.205,-27.0,172146.0
2023:7:13,1957.54,1963.735,1952.47,1960.64,3.1,16.0,77345.0
2023:7:12,1932.505,1959.75,1932.315,1957.54,25.035,130.0,75985.0
2023:7:11,1925.44,1938.495,1924.42,1932.505,7.065,37.0,71828.0
2023:7:10,1925.565,1928.28,1912.75,1925.44,-0.125,-1.0,70937.0
2023:7:7,1910.975,1934.935,1909.62,1925.565,14.59,76.0,94162.0
2023:7:6,1915.12,1927.665,1902.745,1910.975,-4.145,-22.0,88195.0
2023:7:5,1925.875,1935.05,1914.855,1915.12,-10.755,-56.00000000000001,64897.99999999999
2023:7:4,1921.525,1930.765,1920.005,1925.875,4.35,23.0,37517.0
2023:7:3,1919.525,1931.085,1910.08,1921.525,2.0,10.0,58322.0
2023:6:30,1908.065,1922.78,1900.605,1919.525,11.46,60.0,71833.0
2023:6:29,1907.535,1913.18,1893.07,1908.065,0.53,3.0,80916.0
2023:6:28,1913.68,1917.285,1902.87,1907.535,-6.145,-32.0,61344.0
2023:6:27,1923.15,1930.73,1910.89,1913.68,-9.47,-49.0,63008.0
2023:6:26,1921.265,1933.395,1921.265,1923.15,1.885,10.0,48009.0
2023:6:23,1913.835,1937.305,1910.21,1921.265,7.43,39.0,64345.0
2023:6:22,1932.51,1935.005,1912.465,1913.835,-18.675,-97.0,67665.0
2023:6:21,1936.255,1939.575,1919.245,1932.51,-3.745,-19.0,58919.0
2023:6:20,1950.42,1956.84,1929.82,1936.255,-14.165,-73.0,77044.0
2023:6:19,1957.555,1958.81,1947.84,1950.42,-7.135,-36.0,41354.0
2023:6:16,1958.005,1967.92,1953.32,1957.555,-0.45,-2.0,50018.0
2023:6:15,1941.255,1960.31,1925.04,1958.005,16.75,86.0,86479.0
2023:6:14,1943.6,1960.31,1939.755,1941.255,-2.345,-12.0,74771.0
2023:6:13,1957.605,1971.21,1940.095,1943.6,-14.005,-72.0,78621.0
2023:6:12,1960.745,1967.015,1949.28,1957.605,-3.14,-16.0,68616.0
2023:6:9,1965.47,1973.16,1956.665,1960.745,-4.725,-24.0,50155.0
2023:6:8,1940.01,1970.54,1940.01,1965.47,25.46,131.0,50107.0
2023:6:7,1963.285,1970.22,1939.955,1940.01,-23.275,-119.0,51978.0
2023:6:6,1961.7,1966.385,1954.395,1963.285,1.585,8.0,49756.0
2023:6:5,1948.1,1964.055,1938.15,1961.7,13.6,70.0,57157.0
2023:6:2,1977.54,1983.505,1947.68,1948.1,-29.44,-149.0,62360.0
2023:6:1,1962.615,1983.18,1953.445,1977.54,14.925,76.0,66617.0
2023:5:31,1959.48,1974.835,1953.7,1962.615,3.135,16.0,69234.0
2023:5:30,1943.12,1963.55,1932.11,1959.48,16.36,84.0,75804.0
2023:5:29,1946.93,1949.77,1940.385,1943.12,-3.81,-20.0,37313.0
2023:5:26,1940.595,1957.36,1936.815,1946.93,6.335,33.0,70979.0
2023:5:25,1957.225,1964.785,1938.915,1940.595,-16.63,-85.0,71543.0
2023:5:24,1975.115,1985.39,1956.77,1957.225,-17.89,-91.0,78959.0
2023:5:23,1971.72,1977.805,1954.3,1975.115,3.395,17.0,77592.0
2023:5:22,1977.895,1982.67,1968.905,1971.72,-6.175,-31.0,72635.0
2023:5:19,1957.685,1984.325,1954.13,1977.895,20.21,103.0,106304.0
2023:5:18,1982.01,1986.07,1952.01,1957.685,-24.325,-123.0,95953.0
2023:5:17,1988.885,1993.12,1975.095,1982.01,-6.875,-35.0,67870.0
2023:5:16,2016.365,2018.39,1985.53,1988.885,-27.48,-136.0,90207.0
2023:5:15,2011.025,2022.115,2007.845,2016.365,5.34,27.0,70894.0
