Date,Price,Open,High,Low,Vol.,detail,Change %
3/24/1900 7:09,1849.96,1864.795,1879.89,1849.72,123.097,-14.835,-0.80%
2023:09:28,1849.955,1864.795,1879.89,1849.72,123.097,-14.84,-0.80%
2023:09:27,1864.795,1874.835,1879.685,1857.71,137.25,-10.04,-0.54%
2023:09:26,1874.835,1900.67,1903.97,1872.58,111.312,-25.835,-1.36%
2023:09:25,1900.67,1916.015,1916.84,1899.155,95.895,-15.345,-0.80%
2023:09:22,1916.015,1925.43,1927.245,1915.23,87.032,-9.415,-0.49%
2023:09:21,1925.43,1920.085,1929.15,1919.855,107.78,5.345,0.28%
2023:09:20,1920.085,1930.62,1931.685,1913.94,145.251,-10.535,-0.55%
2023:09:19,1930.62,1931.36,1947.465,1927.995,137.976,-0.74,-0.04%
2023:09:18,1931.36,1933.695,1937.43,1929.8,93.077,-2.335,-0.12%
2023:09:15,1933.695,1923.92,1934.29,1922.65,106.931,9.775,0.51%
2023:09:14,1923.92,1910.72,1930.475,1909.865,135.779,13.2,0.69%
2023:09:13,1910.72,1908.32,1912.97,1901.05,154.648,2.4,0.13%
2023:09:12,1908.32,1913.43,1915.815,1905.695,136.39,-5.11,-0.27%
2023:09:11,1913.43,1922.38,1924.555,1907.62,122.013,-8.95,-0.47%
2023:09:08,1922.38,1919.085,1930.78,1916.63,115.63,3.295,0.17%
2023:09:07,1919.085,1919.66,1929.75,1917.385,106.884,-0.575,-0.03%
2023:09:06,1919.66,1916.49,1923.67,1916.27,107.298,3.17,0.17%
2023:09:05,1916.49,1926.01,1929.245,1915.345,126.647,-9.52,-0.49%
2023:09:04,1926.01,1938.455,1939.035,1925.37,120.681,-12.445,-0.64%
2023:09:01,1938.455,1939.9,1946.335,1936.805,59.944,-1.445,-0.07%
2023:08:31,1939.9,1939.855,1953.055,1934.47,147.208,0.045,0.00%
2023:08:30,1939.855,1942.425,1947.955,1939.085,115.474,-2.57,-0.13%
2023:08:29,1942.425,1937.435,1949.115,1934.995,126.012,4.99,0.26%
2023:08:28,1937.435,1920.19,1938.235,1914.485,123.99,17.245,0.90%
2023:08:25,1920.19,1914.425,1926.1,1912.835,81.907,5.765,0.30%
2023:08:24,1914.425,1916.79,1922.44,1903.81,119.559,-2.365,-0.12%
2023:08:23,1916.79,1915.41,1923.4,1911.845,118.277,1.38,0.07%
2023:08:22,1915.41,1897.675,1920.425,1897.67,126.671,17.735,0.93%
2023:08:21,1897.675,1894.895,1904.55,1889.195,112.446,2.78,0.15%
2023:08:18,1894.895,1889.545,1898.825,1884.885,119.196,5.35,0.28%
2023:08:17,1889.545,1889.25,1896.905,1886.81,106.517,0.295,0.02%
2023:08:16,1889.25,1892.09,1903.515,1885.085,144.196,-2.84,-0.15%
2023:08:15,1892.09,1901.82,1907.275,1891.875,142.099,-9.73,-0.51%
2023:08:14,1901.82,1907.505,1911.71,1896.455,163.154,-5.685,-0.30%
2023:08:11,1907.505,1913.815,1916.26,1902.73,130.484,-6.31,-0.33%
2023:08:10,1913.815,1912.42,1920.97,1910.9,132.068,1.395,0.07%
2023:08:09,1912.42,1914.95,1930.18,1912.245,155.508,-2.53,-0.13%
2023:08:08,1914.95,1925.16,1932.395,1914.125,123.977,-10.21,-0.53%
2023:08:07,1925.16,1936.585,1938.155,1922.795,139.132,-11.425,-0.59%
2023:08:04,1936.585,1942.655,1946.815,1931.525,112.919,-6.07,-0.31%
2023:08:03,1942.655,1934.225,1946.99,1924.78,156.902,8.43,0.44%
2023:08:02,1934.225,1934.71,1938.94,1929.61,140.159,-0.485,-0.03%
2023:08:01,1934.71,1944.2,1954.88,1933.036,162.768,-9.49,-0.49%
2023:07:31,1944.2,1965.615,1966.015,1941.29,136.205,-21.415,-1.09%
2023:07:28,1965.615,1959.34,1972.455,1950.206,139.132,6.275,0.32%
2023:07:27,1959.34,1945.15,1963.575,1945.15,176.345,14.19,0.73%
2023:07:26,1945.15,1972.24,1982.265,1942.645,189.868,-27.09,-1.37%
2023:07:25,1972.24,1964.745,1978.405,1962.065,170.682,7.495,0.38%
2023:07:24,1964.745,1954.715,1965.72,1952.005,121.634,10.03,0.51%
2023:07:21,1954.715,1961.95,1967.905,1953.475,147.897,-7.235,-0.37%
2023:07:20,1961.95,1969.55,1973.85,1956.905,144.222,-7.6,-0.39%
2023:07:19,1969.55,1977.15,1987.53,1965.39,168.774,-7.6,-0.38%
2023:07:18,1977.15,1978.92,1980.995,1969.81,160.24,-1.77,-0.09%
2023:07:17,1978.92,1954.98,1984.425,1954.65,180.348,23.94,1.22%
2023:07:14,1954.98,1955.435,1959.91,1945.84,141.677,-0.455,-0.02%
2023:07:13,1955.435,1960.64,1963.795,1950.99,172.146,-5.205,-0.27%
2023:07:12,1960.64,1957.54,1963.735,1952.47,77.345,3.1,0.16%
2023:07:11,1957.54,1932.505,1959.75,1932.315,75.985,25.035,1.30%
2023:07:10,1932.505,1925.44,1938.495,1924.42,71.828,7.065,0.37%
2023:07:07,1925.44,1925.565,1928.28,1912.75,70.937,-0.125,-0.01%
2023:07:06,1925.565,1910.975,1934.935,1909.62,94.162,14.59,0.76%
2023:07:05,1910.975,1915.12,1927.665,1902.745,88.195,-4.145,-0.22%
2023:07:04,1915.12,1925.875,1935.05,1914.855,64.898,-10.755,-0.56%
2023:07:03,1925.875,1921.525,1930.765,1920.005,37.517,4.35,0.23%
2023:06:30,1921.525,1919.525,1931.085,1910.08,58.322,2,0.10%
2023:06:29,1919.525,1908.065,1922.78,1900.605,71.833,11.46,0.60%
2023:06:28,1908.065,1907.535,1913.18,1893.07,80.916,0.53,0.03%
2023:06:27,1907.535,1913.68,1917.285,1902.87,61.344,-6.145,-0.32%
2023:06:26,1913.68,1923.15,1930.73,1910.89,63.008,-9.47,-0.49%
2023:06:23,1923.15,1921.265,1933.395,1921.265,48.009,1.885,0.10%
2023:06:22,1921.265,1913.835,1937.305,1910.21,64.345,7.43,0.39%
2023:06:21,1913.835,1932.51,1935.005,1912.465,67.665,-18.675,-0.97%
2023:06:20,1932.51,1936.255,1939.575,1919.245,58.919,-3.745,-0.19%
2023:06:19,1936.255,1950.42,1956.84,1929.82,77.044,-14.165,-0.73%
2023:06:16,1950.42,1957.555,1958.81,1947.84,41.354,-7.135,-0.36%
2023:06:15,1957.555,1958.005,1967.92,1953.32,50.018,-0.45,-0.02%
2023:06:14,1958.005,1941.255,1960.31,1925.04,86.479,16.75,0.86%
2023:06:13,1941.255,1943.6,1960.31,1939.755,74.771,-2.345,-0.12%
2023:06:12,1943.6,1957.605,1971.21,1940.095,78.621,-14.005,-0.72%
2023:06:09,1957.605,1960.745,1967.015,1949.28,68.616,-3.14,-0.16%
2023:06:08,1960.745,1965.47,1973.16,1956.665,50.155,-4.725,-0.24%
2023:06:07,1965.47,1940.01,1970.54,1940.01,50.107,25.46,1.31%
2023:06:06,1940.01,1963.285,1970.22,1939.955,51.978,-23.275,-1.19%
2023:06:05,1963.285,1961.7,1966.385,1954.395,49.756,1.585,0.08%
2023:06:02,1961.7,1948.1,1964.055,1938.15,57.157,13.6,0.70%
2023:06:01,1948.1,1977.54,1983.505,1947.68,62.36,-29.44,-1.49%
2023:05:31,1977.54,1962.615,1983.18,1953.445,66.617,14.925,0.76%
2023:05:30,1962.615,1959.48,1974.835,1953.7,69.234,3.135,0.16%
2023:05:29,1959.48,1943.12,1963.55,1932.11,75.804,16.36,0.84%
2023:05:26,1943.12,1946.93,1949.77,1940.385,37.313,-3.81,-0.20%
2023:05:25,1946.93,1940.595,1957.36,1936.815,70.979,6.335,0.33%
2023:05:24,1940.595,1957.225,1964.785,1938.915,71.543,-16.63,-0.85%
2023:05:23,1957.225,1975.115,1985.39,1956.77,78.959,-17.89,-0.91%
2023:05:22,1975.115,1971.72,1977.805,1954.3,77.592,3.395,0.17%
2023:05:19,1971.72,1977.895,1982.67,1968.905,72.635,-6.175,-0.31%
2023:05:18,1977.895,1957.685,1984.325,1954.13,106.304,20.21,1.03%
2023:05:17,1957.685,1982.01,1986.07,1952.01,95.953,-24.325,-1.23%
2023:05:16,1982.01,1988.885,1993.12,1975.095,67.87,-6.875,-0.35%
2023:05:15,1988.885,2016.365,2018.39,1985.53,90.207,-27.48,-1.36%
2023:05:12,2016.365,2011.025,2022.115,2007.845,70.894,5.34,0.27%
2023:05:11,2011.025,2015.03,2022.58,2000.96,98.231,-4.005,-0.20%
2023:05:10,2015.03,2029.74,2041.39,2011.185,112.821,-14.71,-0.72%
2023:05:09,2029.74,2034.535,2048.245,2021.565,90.192,-4.795,-0.24%
2023:05:08,2034.535,2021.355,2037.655,2019.55,63.973,13.18,0.65%
2023:05:05,2021.355,2016.79,2029.4,2014.305,57.904,4.565,0.23%
2023:05:04,2016.79,2050.31,2053.045,1999.585,99.893,-33.52,-1.63%
2023:05:03,2050.31,2039.565,2067,2030.39,158.198,10.745,0.53%
2023:05:02,2039.565,2016.6,2040.495,2008.025,88.496,22.965,1.14%
2023:05:01,2016.6,1982.55,2019.455,1978.52,81.795,34.05,1.72%
2023:04:28,1982.55,1989.535,2006.07,1977.12,92.283,-6.985,-0.35%
2023:04:27,1989.535,1987.8,1995.14,1976.265,91.849,1.735,0.09%
2023:04:26,1987.8,1989.235,2003.415,1974.115,90.833,-1.435,-0.07%
2023:04:25,1989.235,1997.04,2009.45,1983.375,102.567,-7.805,-0.39%
2023:04:24,1997.04,1989.05,2003.89,1976.185,83.782,7.99,0.40%
2023:04:21,1989.05,1982.92,1990.845,1974.155,52.264,6.13,0.31%
2023:04:20,1982.92,2004.605,2005.62,1971.695,68.455,-21.685,-1.08%
2023:04:19,2004.605,1994.75,2012.445,1990.565,54.408,9.855,0.49%
2023:04:18,1994.75,2005.075,2008.255,1969.305,51.668,-10.325,-0.51%
2023:04:17,2005.075,1995.055,2011.89,1991.32,49.962,10.02,0.50%
2023:04:14,1995.055,2004.275,2015.075,1981.19,61.121,-9.22,-0.46%
2023:04:13,2004.275,2040.46,2047.505,1992.5,71.842,-36.185,-1.77%
2023:04:12,2040.46,2014.95,2048.77,2014.175,54.462,25.51,1.27%
2023:04:11,2014.95,2003.64,2028.4,2001.22,66.829,11.31,0.56%
2023:04:10,2003.64,1991.195,2007.495,1988.875,40.748,12.445,0.63%
2023:04:07,1991.195,2007.86,2007.86,1981.68,66.635,-16.665,-0.83%
2023:04:06,2007.86,2020.65,2021.485,2000.89,49.143,-12.79,-0.63%
2023:04:05,2020.65,2020.465,2032.11,2010.09,50.955,0.185,0.01%
2023:04:04,2020.465,1984.385,2025.07,1977.035,52.318,36.08,1.82%
2023:04:03,1984.385,1969.31,1990.545,1949.81,66.546,15.075,0.77%
2023:03:31,1969.31,1980.425,1987.645,1966.935,45.696,-11.115,-0.56%
2023:03:30,1980.425,1964.505,1984.365,1955.41,44.014,15.92,0.81%
2023:03:29,1964.505,1974.035,1974.46,1958.755,42.937,-9.53,-0.48%
2023:03:28,1974.035,1956.45,1975.365,1949.245,51.915,17.585,0.90%
2023:03:27,1956.45,1978.965,1978.965,1944.045,67.4,-22.515,-1.14%
2023:03:24,1978.965,1993.495,2003.08,1975.325,104.846,-14.53,-0.73%
2023:03:23,1993.495,1970.015,2003.36,1964.615,90.866,23.48,1.19%
2023:03:22,1970.015,1940.52,1978.915,1934.345,95.641,29.495,1.52%
2023:03:21,1940.52,1978.975,1985.22,1935.465,80.572,-38.455,-1.94%
2023:03:20,1978.975,1988.305,2009.85,1965.99,138.288,-9.33,-0.47%
2023:03:17,1988.305,1919.34,1988.335,1918.305,95.813,68.965,3.59%
2023:03:16,1919.34,1918.73,1933.54,1907.56,93.255,0.61,0.03%
2023:03:15,1918.73,1903.865,1937.39,1885.79,131.026,14.865,0.78%
2023:03:14,1903.865,1913.63,1914.225,1895.435,83.404,-9.765,-0.51%
2023:03:13,1913.63,1867.035,1914.695,1867.035,131.04,46.595,2.50%
2023:03:10,1867.035,1830.915,1870.245,1827.815,70.998,36.12,1.97%
2023:03:09,1830.915,1813.83,1835.725,1811.985,35.709,17.085,0.94%
2023:03:08,1813.83,1813.34,1824.305,1809.425,38.988,0.49,0.03%
2023:03:07,1813.34,1846.88,1851.705,1812.775,44.746,-33.54,-1.82%
2023:03:06,1846.88,1855.435,1858.31,1845.225,31.455,-8.555,-0.46%
2023:03:03,1855.435,1835.94,1856.39,1835.94,37.695,19.495,1.06%
2023:03:02,1835.94,1836.65,1839.03,1830.05,41.289,-0.71,-0.04%
2023:03:01,1836.65,1826.67,1844.83,1823.15,49.931,9.98,0.55%
